#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
80.0%	8000	-5834676.3562624045	287.3271124054623	--	--
90.0%	9000	-5792598.128305946	292.7114035675735	16	0:05
100.0%	10000	-5772378.173762634	295.8681076186651	16.9	0:00
110.0%	11000	-5754729.932512473	297.41160917104537	17.2	23:59:55
120.0%	12000	-5744649.435025301	297.9795885075425	17.4	23:59:51
130.0%	13000	-5738514.730412319	298.61232980649896	17.3	23:59:46
140.0%	14000	-5732216.677787069	299.9032928786513	17.4	23:59:41
150.0%	15000	-5730088.48186367	299.43308318756783	17.4	23:59:36
160.0%	16000	-5728279.198375531	299.0500673460713	17.5	23:59:31
170.0%	17000	-5728584.295802169	298.88284097260583	17.4	23:59:26
